Column1,Column2,Column3,Column4,Column5,Column6
,,,,,
"Statistical table extracted on February 12, 2026 (14:19:13)",,,,,
http://www.ine.pt,,,,,
,,,,,
,,,,,
,,,,,
Data reference period,Place of residence at Census date [2021] (NUTS - 2024),"Resident population (No.) by Place of residence at Census date [2021] (NUTS - 2024), Sex and Age -  Decennial",,,
,,Sex,,,
,,MF,M,F,
,,Age,,,
,,Total,,,
,,No. ,No. ,No. ,
,"030379: União das freguesias de Real, Dume e Semelhe",13682,6569,7113,
,030380: União das freguesias de Santa Lucrécia de Algeriz e Navarra,909,449,460,
,030381: União das freguesias de Vilaça e Fradelos,1552,766,786,
,0306: Esposende,35132,16789,18343,
,030601: Antas,2178,1014,1164,
,030608: Forjães,2646,1262,1384,
,030610: Gemeses,1113,534,579,
,030616: União das freguesias de Apúlia e Fão,7847,3736,4111,
,030617: União das freguesias de Belinho e Mar,2896,1403,1493,
,"030618: União das freguesias de Esposende, Marinhas e Gandra",12262,5888,6374,
,030619: União das freguesias de Fonte Boa e Rio Tinto,1838,895,943,
,030620: União das freguesias de Palmeira de Faro e Curvos,3097,1463,1634,
,030615: Vila Chã,1255,594,661,
,0310: Terras de Bouro,6358,3074,3284,
,031001: Balança,307,150,157,
,031003: Campo do Gerês,149,81,68,
,031004: Carvalheira,292,139,153,
,031008: Covide,273,129,144,
,031009: Gondoriz,296,147,149,
,031010: Moimenta,783,357,426,
,031012: Ribeira,212,98,114,
,031013: Rio Caldo,770,379,391,
,031014: Souto,461,229,232,
,031018: União das freguesias de Chamoim e Vilar,349,170,179,
,031019: União das freguesias de Chorense e Monte,538,253,285,
,031020: União das freguesias de Cibões e Brufe,304,146,158,
,031015: Valdosende,550,276,274,
,031017: Vilar da Veiga,1074,520,554,
,0313: Vila Verde,46444,22223,24221,
,031359: Aboim da Nóbrega e Gondomar,902,418,484,
,031304: Atiães,547,244,303,
,031308: Cabanelas,1973,951,1022,
,031309: Cervães,1856,913,943,
,031311: Coucieiro,526,253,273,
,031313: Dossãos,424,196,228,
,031316: Freiriz,1056,493,563,
,031317: Gême,521,243,278,
,031323: Lage,3054,1461,1593,
,031324: Lanhas,654,317,337,
,031325: Loureira,1104,528,576,
,031328: Moure,1378,672,706,
,031330: Oleiros,1189,562,627,
,031331: Parada de Gatim,707,353,354,
,031335: Pico,516,249,267,
,031337: Ponte,452,222,230,
,031350: Prado (São Miguel),653,327,326,
,031340: Sabariz,448,220,228,
,031352: Soutelo,2124,1010,1114,
,031354: Turiz,1866,917,949,
,031360: União das freguesias da Ribeira do Neiva,3360,1583,1777,
,031361: União das freguesias de Carreiras (São Miguel) e Carreiras (Santiago),832,383,449,
,031362: União das freguesias de Escariz (São Mamede) e Escariz (São Martinho),744,362,382,
,"031363: União das freguesias de Esqueiros, Nevogilde e Travassós",922,447,475,
,031364: União das freguesias de Marrancos e Arcozelo,823,394,429,
,031365: União das freguesias de Oriz (Santa Marinha) e Oriz (São Miguel),509,256,253,
,"031366: União das freguesias de Pico de Regalados, Gondiães e Mós",1553,738,815,
,"031367: União das freguesias de Sande, Vilarinho, Barros e Gomide",1411,703,708,
,"031368: União das freguesias de Valbom (São Pedro), Passô e Valbom (São Martinho)",595,282,313,
,031369: União das freguesias do Vade,1453,690,763,
,031355: Valdreu,434,207,227,
,031342: Vila de Prado,4482,2135,2347,
,031370: Vila Verde e Barbudo,7376,3494,3882,
,119: Ave,418455,201823,216632,
,0304: Cabeceiras de Basto,15558,7559,7999,
,030401: Abadim,472,239,233,
,030404: Basto,893,441,452,
,030405: Bucos,469,228,241,
,030406: Cabeceiras de Basto,616,298,318,
,030407: Cavez,1133,546,587,
,030408: Faia,555,278,277,
,030413: Pedraça,694,346,348,
,030415: Rio Douro,816,397,419,
,030418: União das freguesias de Alvite e Passos,1039,492,547,
,030419: União das freguesias de Arco de Baúlhe e Vila Nune,1950,939,1011,
,030420: União das freguesias de Gondiães e Vilar de Cunhas,347,167,180,
,"030421: União das freguesias de Refojos de Basto, Outeiro e Painzela",6574,3188,3386,
,0307: Fafe,48497,23087,25410,
,030705: Armil,687,329,358,
,030726: Arões (Santa Cristina),1550,761,789,
,030730: Arões (São Romão),3293,1624,1669,
,030708: Estorãos,1540,742,798,
,030709: Fafe,15455,7242,8213,
,030712: Fornelos,1352,649,703,
,030714: Golães,2024,983,1041,
,030716: Medelo,1543,742,801,
,030719: Paços,1015,500,515,
,030722: Quinchães,2171,1065,1106,
,030723: Regadas,1537,738,799,
,030724: Revelhe,788,376,412,
,030725: Ribeiros,545,258,287,
,030728: São Gens,1643,783,860,
,030729: Silvares (São Martinho),1256,580,676,
,030733: Travassós,1444,687,757,
,"030737: União de freguesias de Aboim, Felgueiras, Gontim e Pedraído",773,356,417,
,030738: União de freguesias de Agrela e Serafão,1208,574,634,
,030739: União de freguesias de Antime e Silvares (São Clemente),1940,904,1036,
,"030740: União de freguesias de Ardegão, Arnozela e Seidões",949,434,515,
,030741: União de freguesias de Cepães e Fareja,2152,1060,1092,
,030742: União de freguesias de Freitas e Vila Cova,747,352,395,
,030743: União de freguesias de Monte e Queimadela,659,285,374,
,030744: União de freguesias de Moreira do Rei e Várzea Cova,1656,794,862,
,030736: Vinhós,570,269,301,
,0308: Guimarães,156830,75821,81009,
,030801: Aldão,1278,628,650,
,030804: Azurém,9089,4300,4789,
,030806: Barco,1439,720,719,
,030807: Brito,4774,2331,2443,
,030808: Caldelas,6304,3005,3299,
,030857: Candoso (São Martinho),1234,596,638,
,030812: Costa,5396,2566,2830,
,030813: Creixomil,9708,4530,5178,
,030815: Fermentões,5739,2728,3011,
,030820: Gonça,954,469,485,
,030821: Gondar,2581,1242,1339,
,030823: Guardizela,2447,1192,1255,
,030824: Infantas,1740,873,867,
,030827: Longos,1339,642,697,
,030828: Lordelo,3979,1943,2036,
,030830: Mesão Frio,4159,2016,2143,
,030831: Moreira de Cónegos,4651,2254,2397,
,030832: Nespereira,2594,1289,1305,
,030835: Pencelo,1220,605,615,
,030836: Pinheiro,1135,551,584,
,030837: Polvoreira,3545,1713,1832,
,030838: Ponte,6687,3258,3429,
,030842: Prazins (Santa Eufémia),1267,616,651,
,030840: Ronfe,4496,2195,2301,
,030858: Sande (São Martinho),2239,1071,1168,
,030865: São Torcato,3345,1639,1706,
,030850: Selho (São Cristóvão),2138,1050,1088,
,030854: Selho (São Jorge),5923,2897,3026,
,030866: Serzedelo,3418,1652,1766,
,030868: Silvares,2250,1109,1141,
,030875: União das freguesias de Abação e Gémeos,2682,1339,1343,
,"030876: União das freguesias de Airão Santa Maria, Airão São João e Vermil",3213,1581,1632,
,030877: União das freguesias de Arosa e Castelões,699,326,373,
,030878: União das freguesias de Atães e Rendufe,2579,1306,1273,
,030879: União das freguesias de Briteiros Santo Estêvão e Donim,2024,979,1045,
,030880: União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia,1687,850,837,
,030881: União das freguesias de Candoso São Tiago e Mascotelos,3808,1863,1945,
,030882: União das freguesias de Conde e Gandarela,2464,1217,1247,
,"030883: União das freguesias de Leitões, Oleiros e Figueiredo",1437,717,720,
,"030884: União das freguesias de Oliveira, São Paio e São Sebastião",7830,3589,4241,
,030885: União das freguesias de Prazins Santo Tirso e Corvite,1939,956,983,
,030886: União das freguesias de Sande São Lourenço e Balazar,1584,759,825,
,030887: União das freguesias de Sande Vila Nova e Sande São Clemente,3307,1563,1744,
,030888: União das freguesias de Selho São Lourenço e Gominhães,2271,1136,1135,
,030889: União das freguesias de Serzedo e Calvos,2263,1112,1151,
,"030890: União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar",2043,1000,1043,
,030891: União das freguesias de Tabuadelo e São Faustino,2415,1194,1221,
,030871: Urgezes,5517,2654,2863,
,1705: Mondim de Basto,6410,3099,3311,
,170501: Atei,1144,580,564,
,170502: Bilhó,429,200,229,
,170505: São Cristóvão de Mondim de Basto,2971,1421,1550,
,170509: União das freguesias de Campanhó e Paradança,600,287,313,
,170510: União das freguesias de Ermelo e Pardelhas,378,179,199,
,170508: Vilar de Ferreiros,888,432,456,
,0309: Póvoa de Lanhoso,21775,10450,11325,
,030906: Covelas,406,202,204,
,030908: Ferreiros,410,204,206,
,030912: Galegos,559,273,286,
,030913: Garfe,983,475,508,
,030914: Geraz do Minho,544,258,286,
,030915: Lanhoso,766,369,397,
,030917: Monsul,713,349,364,
,030919: Póvoa de Lanhoso (Nossa Senhora do Amparo),5623,2679,2944,
,030921: Rendufinho,650,328,322,
,030922: Santo Emilião,825,387,438,
,030923: São João de Rei,365,181,184,
,030924: Serzedelo,738,346,392,
,030925: Sobradelo da Goma,695,339,356,
,030926: Taíde,1683,808,875,
,030927: Travassos,605,287,318,
,030930: União das freguesias de Águas Santas e Moure,589,292,297,
,030931: União das freguesias de Calvos e Frades,742,357,385,
,030932: União das freguesias de Campos e Louredo,1391,688,703,
,030933: União das freguesias de Esperança e Brunhais,608,271,337,
,030934: União das freguesias de Fonte Arcada e Oliveira,1629,753,876,
,"030935: União das freguesias de Verim, Friande e Ajude",655,309,346,
,030929: Vilela,596,295,301,
,0311: Vieira do Minho,11955,5713,6242,
,031105: Cantelães,740,346,394,
,031107: Eira Vedra,616,308,308,
,031108: Guilhofrei,898,424,474,
,031109: Louredo,394,199,195,
,031110: Mosteiro,688,337,351,
,031111: Parada de Bouro,400,205,195,
,031112: Pinheiro,372,177,195,
,031113: Rossas,1468,690,778,
,031115: Salamonde,343,158,185,
,031118: Tabuaças,887,427,460,
,031122: União das freguesias de Anissó e Soutelo,345,163,182,
,031123: União das freguesias de Anjos e Vilar do Chão,565,255,310,
,031124: União das freguesias de Caniçada e Soengas,517,252,265,
,031125: União das freguesias de Ruivães e Campos,773,367,406,
,031126: União das freguesias de Ventosa e Cova,577,268,309,
,031120: Vieira do Minho,2372,1137,1235,
,0312: Vila Nova de Famalicão,133534,64449,69085,
,031204: Bairro,3196,1532,1664,
,031206: Brufe,2294,1112,1182,
,031210: Castelões,2083,1004,1079,
,031212: Cruz,1651,801,850,
,031213: Delães,3980,1924,2056,
,031215: Fradelos,3895,1924,1971,
,031216: Gavião,3884,1835,2049,
,031219: Joane,7946,3856,4090,
,031221: Landim,2838,1380,1458,
,031223: Louro,2212,1074,1138,
,031224: Lousado,3884,1867,2017,
,031225: Mogege,1874,911,963,
,031227: Nine,3019,1463,1556,
,031239: Oliveira (Santa Maria),3279,1609,1670,
,031242: Oliveira (São Mateus),2418,1135,1283,
,031230: Pedome,1997,962,1035,
,031232: Pousada de Saramagos,2179,1032,1147,
,031233: Requião,3197,1561,1636,
,031234: Riba de Ave,3191,1516,1675,
,031235: Ribeirão,9061,4411,4650,
,031250: União das freguesias de Antas e Abade de Vermoim,8195,3873,4322,
,031251: União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures,3527,1721,1806,
